Date,Swedish Krona
2018-03-01,10.1185
2018-02-28,10.0923
2018-02-27,10.0800
2018-02-26,10.0435
2018-02-23,10.0583
2018-02-22,9.9963
2018-02-21,9.9648
2018-02-20,9.9688
2018-02-19,9.9155
2018-02-16,9.9140
2018-02-15,9.9180
2018-02-14,9.9305
2018-02-13,9.9388
2018-02-12,9.9195
2018-02-09,9.9448
2018-02-08,9.8968
2018-02-07,9.8585
2018-02-06,9.8685
2018-02-05,9.8338
2018-02-02,9.8223
2018-02-01,9.8030
2018-01-31,9.7645
2018-01-30,9.7825
2018-01-29,9.7823
2018-01-26,9.8005
2018-01-25,9.8188
2018-01-24,9.8323
